Cluster	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	bkgdID
B cells	GO:0120162	positive regulation of cold-induced thermogenesis	2/5	88/15114	3.313763719921774e-4	0.047173822643652906	0.021091280444042317	Kdm6b/Cxcr4	2	Acadl/Ache/Adipoq/Adrb1/Adrb2/Adrb3/Alpl/Fabp4/Apc/Cav1/Cd36/Cebpb/Cxcr4/Ccr2/Cpt2/Dio2/Dync1h1/Ebf2/Epas1/Acsl1/Fh1/Lpin1/G0s2/Gja1/Gnas/Bscl2/Cmklr1/Gpr3/Grb10/Hadh/Hdac3/Hsf1/Igf1r/Il13/Il18/Il4/Il4ra/Irf4/Jak2/Fabp5/Lcn2/Lepr/Mfap2/Oxt/Pemt/Per2/Ppargc1a/Prkab1/Prlr/Scd1/Stat6/Syk/Thra/Tshr/Ucp1/Ucp2/Vegfa/Trpv2/Zbtb7b/Gadd45g/Esrrg/Sirt6/Ybx2/Pdgfc/Fgf21/Ghrl/Oma1/Gatm/Decr1/Adipor2/Prdm16/Adipor1/Ehmt1/Kdm1a/Kdm3a/Ffar4/Prkab2/Ogt/Elovl6/Mfn2/Ppargc1b/Appl2/Kdm6b/Plac8/Cnot3/Alms1/Zfp516/Ksr2
B cells	GO:0045446	endothelial cell differentiation	2/5	105/15114	4.715872337283998e-4	0.047173822643652906	0.021091280444042317	Kdm6b/Cxcr4	2	Acvr1/Acvr2b/Acvrl1/Add1/Agt/Nr2f2/Bmp4/Bmp6/Bmpr2/Btg1/Ctnnb1/Cdh5/Cldn1/Cldn5/Cxcr4/Col15a1/Col18a1/Dll1/Dmd/S1pr3/Ednra/Ednrb/F2rl1/Fasn/Fstl1/Pdpn/S1pr2/Gpx1/Hey1/Hey2/Hoxb5/Hpse/Icam1/Id1/Ikbkb/Il1b/Jag1/F11r/Kdr/Smad4/Mesp1/Met/Afdn/Msn/Myd88/Notch1/Notch4/Pecam1/Abcb1b/Plcb1/Prox1/Ptprs/Rbpj/Rdx/Rock1/Rock2/Sox17/Sox18/Stc1/Zeb1/Tgfbr1/Ift88/Tie1/Tjp1/Tjp2/Tnf/Tnfrsf1a/Vcl/Vegfa/Vezf1/Vhl/Ezr/Xdh/Ceacam1/Plod3/Tjp3/Clic4/Myadm/Foxj2/Cul7/Pbrm1/Tmem100/Zdhhc21/Col22a1/Atoh8/Col24a1/Rap2c/Robo4/Rapgef2/Heg1/Rapgef1/Rap1a/Dicer1/Pde2a/Nrg1/Rap1b/Ccm2/Kdm6b/Marveld2/Akap11/Rapgef3/Ppp1r16b/Pde4d/Apold1/Arhgef26
B cells	GO:0003158	endothelium development	2/5	121/15114	6.257242139691048e-4	0.047173822643652906	0.021091280444042317	Kdm6b/Cxcr4	2	Acvr1/Acvr2b/Acvrl1/Add1/Agt/Alox12/Nr2f2/Rhoa/Rhob/Bmp4/Bmp6/Bmpr2/Bsg/Btg1/Ctnnb1/Cdh5/Cldn1/Cldn5/Cxcr4/Col15a1/Col18a1/Csnk2b/Dll1/Dmd/S1pr3/Ednra/Ednrb/F2rl1/Fasn/Fgf1/Foxc2/Fstl1/Pdpn/S1pr2/Gpx1/Hey1/Hey2/Hoxb5/Hpse/Icam1/Id1/Cxcl10/Ikbkb/Il1b/Itgax/Jag1/F11r/Kdr/Lcn2/Smad4/Mesp1/Met/Afdn/Msn/Myd88/Notch1/Notch4/Pdgfb/Pecam1/Abcb1b/Plcb1/Prox1/Ptprs/Rbpj/Rdx/Rock1/Rock2/Sox17/Sox18/Stc1/Zeb1/Tgfbr1/Ift88/Tie1/Tjp1/Tjp2/Tnf/Tnfrsf1a/Vcl/Vegfa/Vezf1/Vhl/Ezr/Xdh/Ceacam1/Plod3/Tjp3/Clic4/Myadm/Slc40a1/Dll4/Foxj2/Cul7/Pbrm1/Tmem100/Zdhhc21/Col22a1/Atoh8/Col24a1/Rap2c/Robo4/Rapgef2/Heg1/Rapgef1/Foxp1/Rap1a/Dicer1/Pde2a/Nrg1/Rap1b/Ccm2/Kdm6b/Marveld2/Akap11/Rapgef3/Ppp1r16b/Pde4d/Adamts12/Stard13/Apold1/Arhgef26
B cells	GO:0120161	regulation of cold-induced thermogenesis	2/5	136/15114	7.896292237941587e-4	0.047173822643652906	0.021091280444042317	Kdm6b/Cxcr4	2	Acadl/Ache/Adipoq/Actn3/Acvr2b/Adam17/Adrb1/Adrb2/Adrb3/Alpl/Aldh1a1/Fabp4/Apc/Arntl/Atf4/Cav1/Cd36/Cebpb/Cidea/Cxcr4/Ccr2/Cpt2/Ddit3/Dio2/Dync1h1/Ebf2/Epas1/Acsl1/Fh1/Foxc2/Lpin1/G0s2/Gja1/Gnas/Bscl2/Cmklr1/Gpr3/Grb10/Hadh/Hdac3/Hsf1/Id1/Igf1r/Il13/Il15/Il18/Il18r1/Il4/Il4ra/Irf4/Jak2/Fabp5/Lama4/Lcn2/Lepr/Mfap2/Notch1/Npr3/Oxt/Pctp/Pemt/Per2/Ppargc1a/Prkab1/Prlr/Rb1/Rbpj/Rheb/Scd1/Stat6/Stk11/Syk/Thra/Tle3/Tlr4/Tshr/Ucp1/Ucp2/Nr1h3/Nr1h2/Vegfa/Trpv2/Wnt10b/Zbtb7b/Adamts5/Gadd45g/Esrrg/Map2k6/Ip6k1/Sirt6/Ybx2/Pdgfc/Fgf21/Ghrl/Abhd6/Acot13/Oma1/Gatm/Dock7/Decr1/Adipor2/Prdm16/Pgam5/Adipor1/Ehmt1/Zfp423/Kdm1a/Kdm3a/Arrdc3/Ffar4/Lgr4/Prkab2/Ogt/Elovl6/Mfn2/Ppargc1b/Tfe3/Hoxc10/Appl2/Flcn/Dhrs7b/Kdm6b/Nr1d1/Plcl2/Plcl1/Slc25a44/Nrd1/Plac8/Cnot3/Alms1/Lnpep/Zfp516/Acot11/Ksr2/Nova2/Nova1
B cells	GO:0050921	positive regulation of chemotaxis	2/5	137/15114	8.012209117407538e-4	0.047173822643652906	0.021091280444042317	Ccr7/Cxcr4	2	Adam10/Adam17/Ager/Aif1/Akt2/App/Bmpr2/C1qbp/C3ar1/C5ar1/Calr/Ccr6/Cdh13/Cxcr2/Cxcr3/Cxcr4/Ccr1/Ccr2/Ccr4/Ccr7/Creb3/Csf1/Csf1r/Cttn/Cx3cr1/Dapk2/Dscam/S1pr1/Edn1/Edn3/Ednra/F2rl1/F7/Ptk2/Fgf10/Fgf2/Fgfr1/Vegfd/Fn1/Gas6/Lpar1/Cmklr1/Hmgb1/Hspb1/Cxcl10/Cd74/Il12a/Il16/Il1b/Il4/Itga2/Kdr/Lbp/Xcl1/Smad3/Mdk/Met/Nrp1/Ntf3/Ntrk3/P2rx4/Pdgfb/Pdgfrb/Pgf/Prkca/Prkd1/Serpine1/Ccl21a/Lgmn/Ptk2b/Ptn/Ptprj/Rac1/Rac2/Scg2/Ccl2/Ccl27a/Ccl5/Ccl7/Cx3cl1/Cxcl12/Sell/Sema5a/Spi1/Shh/Slit2/Snai2/Stx3/Stx4a/Swap70/Tgfb1/Thbs1/Thbs4/Tpbg/Vegfa/Vegfb/Vegfc/Wnt5a/Ccl19/Mapk1/Mapk3/Dysf/Slamf1/Pla2g7/Tnfsf14/Stk39/Cxcl13/Cxcl14/Trem1/Trpv4/Smoc2/S100a14/Akirin1/Ppm1f/Zfp580/P2ry12/Rarres2/Pdgfd/Wasl/Dnm1l/Il34/Mospd2/Il23a/Trem2/Prkd2/Ano6/Nckap1l/Gpsm3/Oxsr1/Tirap/Ripor2/Mcu/Camk1d/Wnk1/Tnfsf18/Megf8/Defb25
B cells	GO:0106106	cold-induced thermogenesis	2/5	138/15114	8.128954937163435e-4	0.047173822643652906	0.021091280444042317	Kdm6b/Cxcr4	2	Acadl/Ache/Adipoq/Actn3/Acvr2b/Adam17/Adrb1/Adrb2/Adrb3/Alpl/Aldh1a1/Fabp4/Apc/Arntl/Atf4/Cav1/Cd36/Cebpb/Cidea/Cxcr4/Ccr2/Cpt2/Ddit3/Dio2/Dync1h1/Ebf2/Epas1/Acsl1/Fh1/Foxc2/Lpin1/G0s2/Gja1/Gnas/Bscl2/Cmklr1/Gpr3/Grb10/Hadh/Hdac3/Hsf1/Id1/Igf1r/Il13/Il15/Il18/Il18r1/Il4/Il4ra/Irf4/Jak2/Fabp5/Lama4/Lcn2/Lepr/Mfap2/Notch1/Npr3/Oxt/Pctp/Pemt/Per2/Pparg/Ppargc1a/Prkab1/Prlr/Rb1/Rbpj/Rheb/Scd1/Stat6/Stk11/Syk/Thra/Tle3/Tlr4/Tshr/Ucp1/Ucp2/Nr1h3/Nr1h2/Vegfa/Trpv2/Wnt10b/Zbtb7b/Adamts5/Gadd45g/Esrrg/Map2k6/Ip6k1/Sirt6/Ybx2/Pdgfc/Fgf21/Ghrl/Abhd6/Acot13/Oma1/Gatm/Dock7/Decr1/Adipor2/Prdm16/Pgam5/Adipor1/Ehmt1/Zfp423/Kdm1a/Ces1d/Kdm3a/Arrdc3/Ffar4/Lgr4/Prkab2/Ogt/Elovl6/Mfn2/Ppargc1b/Tfe3/Hoxc10/Appl2/Flcn/Dhrs7b/Kdm6b/Nr1d1/Plcl2/Plcl1/Slc25a44/Nrd1/Plac8/Cnot3/Alms1/Lnpep/Zfp516/Acot11/Ksr2/Nova2/Nova1
B cells	GO:0071345	cellular response to cytokine stimulus	3/5	682/15114	8.543703779944896e-4	0.047173822643652906	0.021091280444042317	Ccr7/Cxcr4/Klf6	3	Adipoq/Actg1/Adam17/Angpt1/Akt1/Alox15/Slc25a5/Fabp4/Birc3/Birc2/Apoa1/Aqp4/Rplp0/Arg1/Rhoa/Asah1/Atp5b/Bad/Bcat2/Brca1/Zfp36l1/Zfp36l2/Klf5/Btk/Cacnb4/Cacybp/Capg/Casp1/Cav1/Cd24a/Entpd2/Cd4/Cdc37/Cdc42/Cdk4/Cebpa/Cebpb/Cfl1/Chuk/Socs3/Socs1/Coro1a/Cxcr2/Cxcr4/Ccr1/Ccr2/Ccr7/Ackr3/Cntf/Cntfr/Creb1/Crhbp/Crkl/Crlf1/Csf1/Csf1r/Csf2ra/Csf2rb/Csf2rb2/Csf3/Csf3r/Csnk2b/Ctbp2/Cx3cr1/Dapk3/Dhx9/Ackr1/Dok1/Ecm1/Eda/Edn1/Phc1/Eed/Egr1/Eif4a2/Enah/Eno1/Epor/Eps8/Evl/Ext1/F2rl1/F3/Acsl1/Fadd/Fasn/Fcer1g/Fer/Fkbp1a/Flt3/Fn1/Dtx1/Fzd4/Gab1/Gapdh/Gas6/Gata3/Gba/Gbp2/Gpd1/Gfi1/Gfpt2/Ghr/Gclm/Cxcl1/Pdia3/Hspa5/Gstt2/Gtf2h1/H2-Ab1/H2-Q7/Hcls1/Ptpn6/Hdgf/Hells/Foxd3/Foxf1/Hif1a/Hipk1/Hk2/Hmgb1/Prmt2/Hspd1/Hspa1b/Hsp90ab1/Elavl2/Hyal1/Hyal2/Icam1/Irf8/Irgm1/Cxcl10/Ifi203/Ifi204/Ifi47/Ifit1/Ifit2/Ifit3/Ifnar1/Ifnar2/Ifng/Ifngr1/Ifngr2/Igtp/Cd74/Ikbkb/Il10ra/Il10rb/Il11ra1/Il12rb1/Il12rb2/Il13/Il13ra1/Il13ra2/Il15/Il15ra/Il16/Il17ra/Il18/Il18rap/Il1a/Il1b/Il1r1/Il1r2/Irak1/Il1rap/Il1rn/Il18r1/Il2rb/Il2rg/Il3ra/Il4ra/Il5ra/Il6/Il6ra/Il6st/Il7/Il7r/Il9r/Ilk/Irf1/Acod1/Cd47/Jak1/Jak2/Jak3/Jarid2/Khsrp/Kif16b/Kif5b/Kit/Klf4/Kras/Krt18/Laptm5/Lef1/Lepr/Lifr/Rps2/Sh2b3/Lox/Xcl1/Lsp1/Alad/Smad4/Smad7/Mcm2/Foxc1/Cxcl9/Mme/Gbp4/Mpl/Mras/Mrc1/Msc/Mtf2/Myb/Mybl2/Myc/Myd88/Myo1c/Myod1/Naip2/Naip5/Naip6/Ncl/Nfe2l2/Nfil3/Nfkb1/Nfkbia/Nfyb/Nos2/Notch1/Nrp2/Numbl/Osm/Osmr/P4hb/Pafah1b1/Pcolce/Pde1b/Pdgfb/Padi2/Phb/Piga/Pira2/Lilra6/Pirb/Serpine1/Plcb1/Ccl21a/Pml/Cnot7/Pou5f1/Med1/Pparg/Ppp2cb/Inpp5k/Mapk11/Prlr/Ptk2b/Ptp4a3/Dusp1/Ptpn2/Sirpa/Ptprc/Ptprf/Abcd4/Rab12/Rab20/Rad23b/Rarg/Rbmx/Rela/Upf1/Rfx2/Ripk1/Robo1/Rora/Rps16/Nr1h4/Saa3/Ccl11/Ccl12/Ccl17/Ccl2/Ccl20/Ccl22/Ccl25/Ccl3/Ccl4/Ccl5/Ccl6/Ccl7/Ccl8/Ccl9/Cxcl2/Cxcl5/Cx3cl1/Cxcl12/Selp/Spi1/Sfrp1/Srsf3/Shmt1/Slc12a2/Slc1a1/Slc2a4/Slit2/Slit3/Sstr1/Sox17/Sphk1/Spp1/Src/Srm/Ro60/Star/Stat1/Stat2/Stat3/Stat4/Stat5a/Stat5b/Stat6/Stip1/Stx4a/Stxbp1/Stxbp2/Stxbp3/Stxbp4/Sycp3/Syk/Syngr1/Tank/Tcf7/Ubtf/Tgtp1/Tjp2/Tle4/Tlr4/Otop1/Tnf/Tnfrsf11a/Tnfrsf1a/Cd40/Tnfsf11/Traf1/Traf2/Traf3/Traf5/Traf6/Traip/Plscr1/Tfrc/Trp53/Ctr9/Rpl13a/Tuba1b/Txk/Ube2g2/Usp10/Ugcg/Vamp3/Vamp8/Vegfc/Vim/Was/Wnt5a/Xbp1/Xrcc5/Yap1/Ybx1/Yy1/Zfp36/Zyx/Adam23/Klf6/Grem2/Hax1/Impdh2/Sh2b2/Oasl2/Cib1/Ccl19/Sigirr/Spry2/Spry4/Tlr2/Tnfsf13b/Axl/Ceacam1/Map2k7/Mapk1/Mapk13/Mapk14/Mapk3/Nr5a2/Slc27a1/Etv3/Rps3/Irf5/Tcirg1/Rpl3/Mrpl15/Mga/Pmm1/Usp25/Ebi3/Keap1/Prkn/Il27ra/Hnrnpu/Rif1/Rab11fip5/Ifi27/Txndc17/Ube2k/Vamp4/Stk39/Tslp/B3gnt2/Irf7/Irf3/Kat6b/Gnpnat1/Irgm2/Nfat5/Tollip/Mkrn1/Usp27x/Tyk2/Gsdme/Gbp3/Stx8/Mpc1/Cxcl13/Samhd1/Gps2/Dbn1/Mettl3/Syncrip/Adar/Pfkp/Pdcd10/Ybx3/Socs5/Tbk1/Foxo3/Ikbke/Rnf138/Rps6ka4/Gsk3b/Cdc42ep4/Rabgef1/Pf4/Stap1/Crlf2/Cnot9/Zbp1/Smpd3/Pias4/Hnrnph1/Mkks/Erbin/Iigp1/Il21r/Actn4/Gpr35/Nmi/Htra2/Zfand6/Ifitm3/Eef1e1/Cdip1/Actr2/Pycard/Lsm14a/Rffl/Bbs2/Bag4/C1qtnf4/Rnf125/Jagn1/Rnmt/Gipc1/Mul1/Rraga/Adipor2/Ifitm1/Zc3h15/Vps26b/Stoml1/Nup35/Dab2ip/Dapk1/Nkiras1/Trim32/Rab43/Vrk2/Cactin/Prdm5/Nol8/Arid5b/Tradd/Pnpt1/Nkiras2/Snx10/Tnfrsf13c/Chchd4/Rps6kb1/Bclaf1/Adipor1/Ddx41/Appl1/Rps6ka5/Irak3/Otud4/Ddias/Actr3/Ccdc3/Lrrc2/Cyld/Palm3/Efhc2/Ifitm7/Shpk/Wdr35/Stx11/Kdm5b/Ripor1/Gbp8/Dock8/Pcolce2/Il34/Gper1/Il33/Crebrf/Smpd4/Dcst1/Flicr/Nol3/Parp9/Mynn/Ifitm2/Lrba/Trim2/Trim44/Trem2/Tex14/Dnaja3/Plvap/Sirt1/Smarca5/Trim6/Tnfrsf21/Spock2/Pid1/Commd7/Ldlrap1/Gbp6/Bbs4/Traf3ip2/Gldc/Cdc42ep2/Kdm3a/Sharpin/Ildr1/Eprs/Ankrd1/Cth/Cdk9/Atic/Adamts7/Oxsr1/Irak2/Tpr/Hyal3/Grk2/Srsf1/Lims1/Egln3/Npnt/Oas1c/Slc26a6/Nme7/Bspry/Prpf8/Ripk2/Abcg4/Trpv1/Ripor2/Rnf185/Hspa1a/Pde2a/Irgc1/Trim41/Pde12/Ifitm6/Il20rb/Mylk3/Ythdf2/Parp16/Duox2/Cdc34/Sbno2/Appl2/Trim25/Nr1d1/Ubxn2a/Il31ra/Ttll12/Traf7/Srsf7/Ticam2/Gm4841/Wbp1l/Rab7b/Ifi207/Ifi205/Gsn/Mavs/Ythdf3/Pias3/Rbm15/Gbp5/Gbp7/Tut4/Zc3h12a/Tnip2/Sdad1/Oasl1/Mat2a/Wnk1/Ifi209/Gbp9/Il22ra2/Akap6/Adamts12/Gm4951/F830016B08Rik/Peli3/Tnfsf18/Eda2r/Oas3/Oas2/Oas1a/Cd300lf/Il17f/Spata2/Irak4/Cpne1/Flnb/Ifnz/Dcp1b/Cxcl3/Myo18a/Nlrp12/Nefh/Lrch1/Rc3h1/Ifi211/Aim2/Trim56/Gm5431/Otulin/Nlrc5/Rufy4/Nup85/Ifi214/Parp14/Gsk3a/Gm12185/Ifi213/Gbp10/9930111J21Rik1/Ifi208/Isg15/Tgtp2/Mndal/Trbv13-2/Ifi206
B cells	GO:1990845	adaptive thermogenesis	2/5	149/15114	9.467772305949827e-4	0.047173822643652906	0.021091280444042317	Kdm6b/Cxcr4	2	Acadl/Ache/Adipoq/Actn3/Acvr2b/Adam17/Adrb1/Adrb2/Adrb3/Alpl/Aldh1a1/Slc25a4/Slc25a5/Fabp4/Apc/Arntl/Atf4/Cav1/Cd36/Cebpb/Cidea/Ckb/Cxcr4/Ccr2/Cpt2/Ddit3/Dio2/Dync1h1/Ebf2/Epas1/Acsl1/Fh1/Foxc2/Lpin1/G0s2/Gja1/Gnas/Bscl2/Cmklr1/Gpr3/Grb10/Hadh/Hdac3/Hsf1/Id1/Igf1r/Il13/Il15/Il18/Il18r1/Il4/Il4ra/Irf4/Jak2/Fabp5/Lama4/Lcn2/Lepr/Mfap2/Notch1/Npr3/Oxt/Pctp/Pemt/Per2/Pparg/Ppargc1a/Prkab1/Prlr/Rb1/Rbpj/Rheb/Scd1/Sct/Sorl1/Stat6/Stk11/Syk/Thra/Tle3/Tlr4/Tshr/Ucp1/Ucp2/Nr1h3/Nr1h2/Vegfa/Trpv2/Wnt10b/Zbtb7b/Adamts5/Gadd45g/Esrrg/Map2k6/Ip6k1/Sirt6/Hnrnpu/Ybx2/Pdgfc/Fgf21/Ghrl/Trpv4/Abhd6/Acot13/Oma1/Gatm/Dock7/Decr1/Adipor2/Prdm16/Pgam5/Adipor1/Ehmt1/Zfp423/Kdm1a/Ces1d/Kdm3a/Arrdc3/Ffar4/Lgr4/Prkab2/Ogt/Elovl6/Mfn2/Ppargc1b/Trpv1/Tfe3/Hoxc10/Pm20d1/Appl2/Flcn/Dhrs7b/Kdm6b/Nr1d1/Clic5/Plcl2/Plcl1/Slc25a44/Nrd1/Plac8/Cnot3/Alms1/Lnpep/Sctr/Zfp516/Acot11/Ksr2/Nova2/Nova1
B cells	GO:0019722	calcium-mediated signaling	2/5	163/15114	0.0011316017667294424	0.047173822643652906	0.021091280444042317	Ccr7/Cxcr4	2	Actn3/Ada/Adora3/Agtr1a/App/Atp1b1/Atp2a2/Cxcr5/Bst1/Cacna1d/Calm2/Casq1/Casq2/Ccr6/Cd22/Cd24a/Cd3e/Cd4/Cd8a/Cdh13/Chrm3/Cxcr2/Cxcr3/Cxcr4/Ccr1/Ccr9/Ccr2/Ccr4/Ccr5/Ccr7/Ccr10/Ackr3/Cx3cr1/Dmpk/Dmd/Drd1/Edn1/Ednrb/Eif2ak3/Dmtn/Erbb3/Fcer1a/Fhl2/Fkbp1b/Cmklr1/Htt/Hint1/Htr2b/Irgm1/Igf1/Igtp/Itgal/Itpr1/Kdr/L1cam/Lat/Lhcgr/Bhlha15/Mapt/Ncam1/Nfatc1/Nfatc2/Nfatc3/Ntrk2/P2rx4/Pdk2/Plcg1/Pln/Pomc/Ppp3ca/Ppp3cb/Ppp3cc/Ppp3r1/Prnp/Ptbp1/Ptgfr/Ptk2b/Ptprc/Ptprj/Ryr2/Ccl20/Exoc4/Selp/Slc8a1/Slc9a1/Sphk1/Syk/Tnf/Tnfsf11/Tnni3/Vcam1/Zap70/Mapk7/Cib1/Sgcd/Ceacam1/Nr5a2/Homer2/Homer3/Bcap31/Cherp/Trpm2/Lmcd1/Tmem38b/Ncald/Rcan2/Rcan3/Avpr1a/Ccrl2/Nfat5/Rcan1/Chp1/Gsk3b/Mtor/Lat2/Myoz2/Ackr2/Fis1/Lrrk2/Tmem100/Tmbim4/Trpm4/Stimate/Dyrk2/Chp2/P2ry12/Cabyr/Nfatc4/Tmem38a/Sppl3/Cmya5/Trat1/Sla2/Selenok/Cxcr6/Trem2/Camta1/Prkaa1/Tbc1d10c/Ank2/Slc8a2/Egln1/Kiss1r/Camkk2/Hdac4/Nrg1/Efhb/Mcu/Ppp1r9b/Samd14/Zmpste24/Tpcn2/Plcg2/Alms1/Akap6/Akap5/Ppp1r9a/Siglecg/Tox3/Ackr4/Adgrl1/Ksr2/Atp2b4
B cells	GO:0001659	temperature homeostasis	2/5	169/15114	0.0012157386707606448	0.047173822643652906	0.021091280444042317	Kdm6b/Cxcr4	2	Acadl/Acadvl/Ache/Adipoq/Actn3/Acvr2b/Adam17/Adora1/Adrb1/Adrb2/Adrb3/Alpl/Aldh1a1/Fabp4/Apc/Arntl/Atf4/Cav1/Cd36/Cebpb/Cidea/Cxcr4/Ccr2/Ccr5/Cnr1/Cpt2/Ddit3/Dio2/Dync1h1/Drd1/Ebf2/Ednrb/Egr1/Epas1/Acsl1/Fh1/Foxc2/Lpin1/G0s2/Gja1/Gnas/Bscl2/Cmklr1/Gpr3/Gpx1/Grb10/Hadh/Hdac3/Hsf1/Htr2a/Id1/Igf1r/Il13/Il15/Il18/Il1a/Il1b/Il1rn/Il18r1/Il4/Il4ra/Irf4/Jak2/Fabp5/Lama4/Lcn2/Lepr/Mfap2/Notch1/Npr3/Sqstm1/Oxt/Pctp/Pemt/Per2/Pparg/Ppargc1a/Prkab1/Prlr/Ptger3/Ptgs2/Rb1/Rbpj/Rheb/Scd1/Ccl5/Stat3/Stat6/Stk11/Syk/Thra/Tle3/Tlr4/Tnf/Tnfrsf11a/Tnfsf11/Tshr/Ucp1/Ucp2/Nr1h3/Nr1h2/Vegfa/Trpv2/Wnt10b/Zbtb7b/Adamts5/Gadd45g/Esrrg/Fto/Map2k6/Slc27a1/Ip6k1/Trpm2/Apln/Sirt6/Ybx2/Pdgfc/Fgf21/Ghrl/Ptges/Abhd6/Acot13/Oma1/Gatm/Dock7/Decr1/Adipor2/Prdm16/Pgam5/Adipor1/Ehmt1/Gimap3/Zfp423/Kdm1a/Ces1d/Kdm3a/Arrdc3/Ffar4/Lgr4/Prkab2/Ogt/Elovl6/Mfn2/Ppargc1b/Trpv1/Tfe3/Hoxc10/Appl2/Flcn/Dhrs7b/Kdm6b/Nr1d1/Plcl2/Plcl1/Slc25a44/Nrd1/Plac8/Cnot3/Alms1/Lnpep/Napepld/Abat/Gimap5/Zfp516/Acot11/Ksr2/Nova2/Nova1/Fcor
